label,brset_auroc,mbrset_auroc,mbrset_ci,absolute_decline,mbrset_ece
dr_label,0.9982,0.8002,0.7834-0.8165,0.198,0.1044
quality_label,0.9641,0.8872,0.8679-0.9048,0.077,0.0776
hypertension_exploratory,0.6012,0.5417,0.5241-0.5589,0.06,0.6807
