coverage_target,alpha,tau,brset_deferral_pct,mbrset_deferral_pct,mbrset_minus_brset_pp
80,0.2,0.578,18.49,83.81,65.32
90,0.1,0.716,10.17,64.56,54.4
95,0.05,0.915,5.57,42.37,36.8
99,0.01,1.649,0.95,2.87,1.92
