subgroup,n,auroc,auroc_ci,macro_f1,ece,coverage90_pct
age_lt50,667,0.9981,0.9954-0.9999,0.9734,0.168,99.55
age_50_70,873,0.9979,0.9950-0.9998,0.9740,0.158,99.43
age_gt70,608,0.9979,0.9951-0.9999,0.9709,0.155,99.34
age_missing,1118,0.9990,0.9976-0.9998,0.9742,0.178,99.01
female,2042,0.9983,0.9969-0.9992,0.9654,0.165,99.22
male,1224,0.9979,0.9951-0.9997,0.9778,0.167,99.84
canon_cr2,2117,0.9977,0.9961-0.9991,0.9685,0.159,99.29
nikon_nf5050,1149,0.9991,0.9980-0.9998,0.9794,0.177,99.74
