model,params_M,gflops,latency_ms,fps,macro_auroc,note
image_only,49.3,15.3,22,45.5,0.917,approximate
metadata_only,0.5,0.4,8,125.0,0.6655,approximate
early_fusion,50.1,16.1,25,40.0,0.923,approximate
mmap_no_missingness,69.1,17.2,28,35.7,0.9276,approximate
mmap_no_gate,69.3,17.2,27,37.0,0.8956,approximate
mmap_full_T1,69.4,17.8,29,34.5,0.9289,verified_strict_load_69369413
mmap_full_T20,69.4,356.0,535,1.9,0.9673,canonical
