label,auroc_full_meta,auroc_30pct_mcar,auroc_drop_mmap,auroc_ef_full,auroc_ef_mcar,auroc_drop_ef
dr_label,0.9604,0.9535,-0.0069,0.958,0.9568,-0.0012
optic_disc,0.9222,0.9232,0.001,0.9285,0.9268,-0.0017
macula,0.9201,0.9199,-0.0002,0.9233,0.9224,-0.0009
quality_label,0.9127,0.913,0.0003,0.906,0.9046,-0.0014
macro,0.9289,0.9274,-0.0015,0.9289,0.9276,-0.0013
