condition,auroc,auroc_ci,macro_f1,ece,note
image_only,0.6815,0.6142-0.7485,0.5542,0.0064,below_descriptive_reference
image_plus_metadata,0.6012,0.5228-0.6838,0.4958,0.0057,lower_than_image_only
mbrset_external_device,0.5417,0.5241-0.5589,,,external_device_check_only
