operating_point,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,ppv,ppv_ci,npv,npv_ci,selection,intended_use
high_sensitivity,0.282,0.996,0.986-1.000,0.937,0.928-0.945,0.550,0.502-0.598,1.000,0.999-1.000,validation_locked,triage_referral
youden_optimal,0.473,0.958,0.930-0.982,0.988,0.984-0.991,0.859,0.820-0.900,0.997,0.994-0.999,validation_locked,general_screening
